Time 722 done, cost 0.07992401017140892
Time 723 done, cost 0.13929461997799644
Time 724 done, cost 0.8521171512388378
Time 725 done, cost 1.9484131543720078
Time 726 done, cost 0.048310625741142664
Time 727 done, cost 0.16755460073269568
Time 728 done, cost 8.420130918406102
Time 729 done, cost 1.0840362614186296
Time 730 done, cost 0.051039457274026215
Time 731 done, cost 0.07079589474203228
Time 732 done, cost 15.788463977500284
Time 733 done, cost 0.02241671881911145
Time 734 done, cost 5.196903614417966
Time 735 done, cost 0.011273888856581241
Time 736 done, cost 0.0059036499242230474
Time 737 done, cost 1.461337881245584
Time 738 done, cost 0.7789278821621455
Time 739 done, cost 0.008746263290403265
Time 740 done, cost 9.782572737223248
